,country_of_origin,variety,aroma,aftertaste,acidity,body,balance,moisture,specialty
780,Brazil,Other,7.25,7.58,7.58,7.25,7.92,0.0,No
1293,Other,Other,7.0,6.83,7.17,7.0,7.17,0.11,No
1223,Mexico,Caturra,7.25,7.0,6.83,7.58,7.08,0.13,No
157,Brazil,Catuai,8.5,7.5,7.75,7.5,7.83,0.11,Yes
520,Mexico,Bourbon,7.5,7.5,7.5,7.58,7.58,0.11,Yes
1016,Mexico,Bourbon,7.5,7.17,7.42,7.5,7.33,0.11,No
748,Mexico,Typica,7.67,7.33,7.5,7.42,7.42,0.12,No
787,Mexico,Typica,7.42,7.5,7.33,7.42,7.42,0.13,No
1279,Mexico,Typica,7.17,6.83,7.17,7.42,6.67,0.13,No
583,Other,Other,7.5,7.42,7.58,7.58,7.5,0.12,Yes
700,Mexico,Typica,7.83,7.42,7.67,7.17,7.33,0.12,No
235,Colombia,Caturra,7.92,7.67,7.75,7.67,7.67,0.0,Yes
1254,Guatemala,Other,7.33,6.83,7.17,7.17,7.17,0.1,No
670,Brazil,Bourbon,7.67,7.33,7.67,7.5,7.5,0.0,Yes
246,Guatemala,Bourbon,7.75,7.5,7.83,7.58,7.67,0.1,Yes
410,Guatemala,Bourbon,7.83,7.17,7.67,7.67,7.67,0.11,Yes
179,Other,Other,7.33,7.83,7.75,7.75,7.92,0.11,Yes
1052,Other,Caturra,7.83,7.67,7.67,7.83,7.5,0.11,No
386,Colombia,Caturra,7.58,7.25,7.75,7.75,8.58,0.12,Yes
319,Taiwan,Caturra,7.5,7.33,7.92,7.83,7.67,0.1,Yes
743,Mexico,Other,7.58,7.42,7.42,7.42,7.42,0.12,No
738,Other,Bourbon,7.58,7.5,7.67,7.83,8.42,0.12,No
147,Other,Other,7.83,7.83,7.75,7.58,7.83,0.1,Yes
783,Other,Other,7.42,7.5,7.33,7.33,7.5,0.12,No
717,Guatemala,Other,7.58,7.5,7.58,7.75,7.5,0.12,No
746,Guatemala,Bourbon,7.5,7.33,7.58,7.67,7.33,0.11,No
155,Colombia,Caturra,7.42,7.75,7.75,8.08,7.83,0.11,Yes
750,Mexico,Typica,7.33,7.42,7.67,7.33,7.5,0.11,No
1047,Other,Typica,7.42,7.42,7.25,7.08,7.33,0.12,No
253,Other,Other,7.67,7.5,7.75,7.92,7.67,0.0,Yes
901,Taiwan,Typica,7.33,7.08,7.08,8.33,8.25,0.0,No
899,Other,Other,7.42,7.33,7.42,7.42,7.33,0.12,No
1008,Other,Other,7.33,7.17,7.33,7.42,7.42,0.12,No
445,Guatemala,Caturra,7.67,7.42,7.75,7.58,7.5,0.11,Yes
338,Other,Other,7.67,7.58,7.58,7.67,7.75,0.1,Yes
261,Brazil,Bourbon,7.58,7.67,7.75,7.58,7.83,0.11,Yes
1185,Other,Catuai,7.58,6.75,6.92,7.0,6.92,0.11,No
167,Mexico,Typica,7.92,7.75,7.75,7.75,7.83,0.11,Yes
1153,Mexico,Bourbon,7.25,7.17,7.08,7.17,7.0,0.14,No
582,Guatemala,Bourbon,7.42,7.42,7.67,7.5,7.5,0.1,Yes
846,Other,Other,7.58,7.33,7.33,7.33,7.42,0.13,No
788,Mexico,Typica,7.5,7.42,7.5,7.25,7.5,0.13,No
726,Guatemala,Bourbon,7.67,7.33,7.67,7.5,7.33,0.11,No
1011,Mexico,Other,7.08,7.33,7.33,7.42,7.25,0.12,No
516,Colombia,Caturra,7.58,7.42,7.67,7.58,7.42,0.0,Yes
348,Mexico,Typica,7.83,7.58,7.58,7.67,7.58,0.12,Yes
906,Mexico,Typica,7.67,7.42,7.58,7.58,7.42,0.11,No
18,Other,Other,8.42,8.08,8.17,7.92,8.0,0.1,Yes
709,Other,Caturra,7.75,7.25,7.25,7.42,7.67,0.1,No
1268,Mexico,Typica,7.42,6.83,7.08,6.92,6.83,0.16,No
525,Colombia,Caturra,7.67,7.58,7.5,7.67,7.42,0.12,Yes
683,Brazil,Other,7.17,7.33,7.5,7.75,7.42,0.0,No
1172,Mexico,Caturra,7.25,6.92,7.25,7.58,7.08,0.12,No
517,Colombia,Caturra,7.5,7.42,7.58,7.75,7.58,0.11,Yes
601,Mexico,Typica,8.08,8.0,8.0,7.83,7.92,0.12,Yes
817,Other,Caturra,7.58,7.25,7.33,7.42,7.5,0.12,No
349,Colombia,Caturra,7.67,7.58,7.58,7.67,7.75,0.11,Yes
387,Guatemala,Bourbon,7.75,7.33,7.83,7.5,7.67,0.1,Yes
961,Brazil,Catuai,7.5,7.5,7.5,7.75,7.83,0.11,No
1308,Other,Caturra,7.25,6.33,6.25,6.42,6.08,0.13,No
1248,Guatemala,Bourbon,7.0,6.67,7.17,6.83,6.83,0.11,No
303,Other,Other,7.83,7.83,7.67,8.0,8.17,0.12,Yes
1213,Mexico,Caturra,6.92,6.67,7.25,7.17,6.92,0.13,No
1300,Mexico,Bourbon,6.5,6.42,7.17,7.33,6.5,0.11,No
507,Taiwan,Typica,7.92,7.83,7.58,7.33,7.25,0.08,Yes
890,Mexico,Bourbon,7.67,7.17,7.75,7.5,7.25,0.11,No
1190,Mexico,Typica,7.17,6.92,7.08,7.17,7.0,0.14,No
791,Mexico,Typica,7.58,7.25,7.75,7.33,7.42,0.11,No
976,Other,Caturra,6.83,7.42,7.17,7.5,7.42,0.12,No
331,Mexico,Typica,7.67,7.5,7.33,7.83,8.25,0.12,Yes
465,Mexico,Typica,7.75,7.58,7.5,7.42,7.58,0.12,Yes
1050,Other,Other,7.58,7.0,7.67,7.5,7.5,0.13,No
1305,Other,Catuai,7.0,6.17,6.5,6.67,6.17,0.1,No
747,Mexico,Bourbon,7.5,7.42,7.67,7.33,7.42,0.13,No
496,Brazil,Bourbon,7.58,7.5,7.75,7.67,7.5,0.0,Yes
368,Mexico,Typica,7.67,7.67,7.75,7.58,7.5,0.11,Yes
984,Brazil,Other,7.42,7.25,7.42,7.5,7.17,0.12,No
497,Brazil,Bourbon,7.5,7.58,7.67,7.58,7.5,0.11,Yes
323,Guatemala,Bourbon,8.0,7.33,8.0,8.0,8.0,0.1,Yes
484,Brazil,Bourbon,7.58,7.67,7.42,7.42,7.5,0.0,Yes
968,Taiwan,Typica,7.5,7.25,7.25,7.25,7.25,0.11,No
1307,Other,Typica,6.75,6.42,6.67,7.08,6.67,0.14,No
29,Taiwan,Other,8.0,8.0,8.25,8.0,8.17,0.0,Yes
469,Colombia,Caturra,7.58,7.5,7.58,7.67,7.67,0.11,Yes
814,Colombia,Caturra,7.33,7.08,7.42,7.5,7.67,0.07,No
1158,Other,Bourbon,7.25,7.0,6.83,7.33,7.17,0.0,No
739,Other,Catuai,7.58,7.42,7.58,7.42,7.42,0.11,No
1216,Guatemala,Other,7.33,6.92,7.58,7.25,7.17,0.12,No
25,Brazil,Bourbon,8.5,8.0,8.0,8.0,8.0,0.12,Yes
650,Mexico,Typica,7.67,7.58,7.75,7.67,6.83,0.12,Yes
1023,Other,Caturra,7.33,7.25,7.0,7.5,7.42,0.1,No
667,Mexico,Typica,7.67,7.33,7.67,7.5,7.33,0.12,Yes
555,Mexico,Typica,8.0,7.67,7.17,7.67,7.42,0.14,Yes
728,Mexico,Bourbon,7.67,7.5,7.58,7.5,7.5,0.13,No
549,Colombia,Caturra,7.58,7.75,7.33,7.58,7.58,0.11,Yes
808,Mexico,Typica,7.67,7.25,7.5,7.42,7.42,0.12,No
1140,Guatemala,Bourbon,7.33,6.92,7.33,7.25,7.33,0.1,No
723,Colombia,Caturra,7.5,7.5,7.5,7.5,7.58,0.0,No
1103,Guatemala,Caturra,7.0,7.33,7.33,7.0,7.17,0.11,No
653,Brazil,Bourbon,7.5,7.5,7.5,7.58,7.5,0.11,Yes
35,Other,Other,8.08,8.0,8.25,7.92,7.92,0.12,Yes
689,Mexico,Bourbon,7.5,7.5,7.92,7.42,7.67,0.12,No
400,Mexico,Caturra,7.75,7.5,7.67,7.5,7.58,0.12,Yes
1154,Mexico,Typica,7.33,7.0,7.08,7.08,7.0,0.1,No
936,Brazil,Catuai,7.33,7.5,7.33,6.83,7.42,0.11,No
1212,Other,Typica,7.0,6.83,7.17,7.17,7.17,0.0,No
523,Colombia,Caturra,7.67,7.58,7.58,7.67,7.42,0.11,Yes
904,Mexico,Typica,7.67,7.42,7.5,6.75,7.42,0.12,No
1014,Guatemala,Bourbon,7.67,7.33,7.58,7.67,7.5,0.1,No
898,Other,Caturra,7.58,7.5,7.17,7.08,7.58,0.12,No
868,Colombia,Caturra,7.33,7.33,7.33,7.5,7.67,0.0,No
478,Colombia,Caturra,7.58,7.33,7.67,7.75,7.58,0.0,Yes
197,Colombia,Caturra,7.67,7.75,7.75,7.67,7.92,0.11,Yes
108,Taiwan,Typica,7.67,8.0,7.58,8.0,7.92,0.11,Yes
973,Mexico,Caturra,7.75,7.08,7.25,7.08,7.25,0.12,No
567,Colombia,Other,7.83,7.5,7.58,7.5,7.67,0.0,Yes
886,Taiwan,Typica,7.58,7.33,7.42,7.33,7.33,0.11,No
536,Taiwan,Caturra,7.17,7.25,7.67,7.67,7.58,0.09,Yes
1180,Mexico,Typica,7.42,7.08,7.17,7.08,7.08,0.14,No
214,Guatemala,Caturra,7.75,7.58,7.92,7.67,7.67,0.1,Yes
697,Mexico,Other,7.58,7.17,7.5,7.5,7.5,0.14,No
116,Other,Other,7.75,7.67,7.67,8.25,7.75,0.12,Yes
779,Brazil,Bourbon,7.42,7.42,7.5,7.42,7.25,0.11,No
871,Guatemala,Bourbon,7.42,7.08,7.42,7.33,7.42,0.1,No
840,Other,Catuai,7.33,7.5,7.42,7.33,7.33,0.0,No
139,Guatemala,Bourbon,7.67,7.67,8.0,7.67,7.83,0.12,Yes
295,Other,Other,7.75,7.5,7.58,7.75,7.75,0.11,Yes
79,Other,Other,7.83,7.75,8.08,7.92,7.75,0.0,Yes
882,Other,Caturra,7.5,7.5,7.5,7.17,7.17,0.1,No
759,Other,Bourbon,7.58,7.42,7.33,7.5,7.42,0.13,No
979,Other,Caturra,7.58,7.33,7.08,7.33,7.33,0.12,No
563,Other,Bourbon,7.83,7.75,7.83,7.75,7.75,0.11,Yes
447,Other,Other,7.5,7.33,7.67,7.67,7.67,0.11,Yes
991,Other,Caturra,7.42,7.17,7.25,7.25,7.58,0.13,No
863,Mexico,Bourbon,7.5,7.33,7.42,7.25,7.25,0.13,No
318,Brazil,Bourbon,7.58,7.58,7.75,7.58,7.58,0.11,Yes
887,Mexico,Typica,7.5,7.08,7.58,7.33,7.33,0.12,No
1271,Other,Other,6.83,6.67,6.83,7.0,6.83,0.11,No
280,Taiwan,Typica,7.67,7.67,7.75,7.42,7.75,0.0,Yes
121,Other,Other,7.92,7.58,7.92,7.75,7.83,0.13,Yes
1218,Mexico,Typica,7.0,6.75,7.33,6.92,6.92,0.13,No
432,Mexico,Caturra,7.75,7.42,7.92,7.33,7.5,0.12,Yes
474,Brazil,Other,7.75,7.58,7.5,7.75,7.5,0.12,Yes
222,Colombia,Other,7.67,7.67,7.42,7.83,8.58,0.12,Yes
505,Guatemala,Bourbon,7.83,7.25,7.67,7.75,7.5,0.11,Yes
1105,Other,Other,7.42,7.25,7.58,7.42,7.33,0.0,No
23,Other,Other,8.25,8.17,8.17,7.83,8.17,0.0,Yes
586,Other,Bourbon,7.67,7.17,7.33,7.58,7.67,0.0,Yes
1141,Other,Caturra,6.83,7.17,6.92,7.5,7.08,0.11,No
154,Other,Bourbon,7.75,7.75,8.0,7.83,7.67,0.12,Yes
112,Brazil,Bourbon,8.0,7.75,7.75,8.0,7.75,0.11,Yes
1202,Mexico,Typica,7.5,6.92,7.5,7.25,7.0,0.14,No
617,Taiwan,Typica,8.0,7.83,7.42,7.25,7.25,0.08,Yes
481,Brazil,Other,7.33,7.67,7.33,7.75,7.42,0.0,Yes
96,Other,Other,8.17,7.75,7.75,7.67,7.75,0.11,Yes
1025,Taiwan,Typica,7.42,7.25,7.25,7.25,7.25,0.11,No
518,Mexico,Typica,7.67,7.42,7.5,7.67,7.58,0.11,Yes
543,Brazil,Other,7.08,7.5,7.83,7.75,7.67,0.11,Yes
576,Mexico,Typica,7.58,7.5,7.42,7.67,7.58,0.11,Yes
361,Colombia,Caturra,8.0,7.25,7.58,7.92,7.58,0.11,Yes
513,Colombia,Caturra,7.75,7.33,7.5,7.58,7.17,0.11,Yes
412,Other,Bourbon,7.75,7.33,7.5,7.5,7.75,0.0,Yes
915,Other,Catuai,7.25,7.25,7.5,7.33,7.33,0.0,No
209,Other,Other,8.17,7.58,7.67,7.83,7.58,0.13,Yes
467,Colombia,Caturra,7.67,7.5,7.5,7.58,8.17,0.11,Yes
487,Taiwan,Typica,7.75,7.5,7.5,7.5,7.5,0.11,Yes
66,Other,Other,7.92,7.83,8.08,7.83,7.92,0.1,Yes
710,Other,Catuai,7.75,7.5,7.5,7.33,7.58,0.0,No
369,Mexico,Other,7.75,7.67,7.75,7.33,7.5,0.12,Yes
693,Mexico,Typica,7.42,7.5,7.42,7.58,7.5,0.13,No
1301,Mexico,Typica,6.92,6.83,6.92,7.42,6.92,0.12,No
1085,Mexico,Caturra,7.42,7.08,7.33,7.25,7.17,0.12,No
1149,Other,Catuai,7.58,7.67,7.75,7.67,7.58,0.1,No
1080,Taiwan,Typica,7.58,7.17,7.17,7.17,7.17,0.14,No
958,Other,Catuai,7.33,7.17,7.33,7.5,7.33,0.12,No
1183,Mexico,Bourbon,7.0,6.92,7.17,7.17,7.08,0.13,No
27,Other,Other,8.42,8.17,8.17,7.83,7.92,0.12,Yes
1206,Other,Caturra,7.17,6.92,7.0,7.0,7.0,0.1,No
1173,Mexico,Typica,7.25,7.0,7.25,7.17,7.17,0.12,No
850,Colombia,Caturra,7.5,7.0,7.42,7.5,7.58,0.0,No
450,Guatemala,Bourbon,7.5,7.5,7.83,7.58,7.5,0.11,Yes
867,Mexico,Typica,7.5,7.25,7.33,7.67,7.25,0.12,No
815,Guatemala,Bourbon,7.58,7.25,7.58,7.58,7.5,0.1,No
654,Other,Other,7.83,7.25,7.5,7.42,7.33,0.11,Yes
1020,Brazil,Other,7.25,7.25,7.25,7.25,7.33,0.12,No
1253,Brazil,Bourbon,7.5,7.42,7.58,7.58,6.92,0.0,No
409,Colombia,Caturra,7.67,7.5,7.67,7.92,7.42,0.11,Yes
4,Other,Other,8.25,8.25,8.5,8.42,8.33,0.12,Yes
701,Colombia,Caturra,7.67,7.25,7.42,7.5,7.67,0.0,No
807,Brazil,Other,7.33,7.42,7.17,7.33,7.42,0.11,No
763,Other,Catuai,7.67,7.25,7.42,7.58,7.42,0.11,No
1128,Mexico,Other,7.08,7.0,7.33,7.08,7.0,0.11,No
1200,Other,Typica,7.67,7.08,7.25,8.0,7.5,0.0,No
1258,Mexico,Other,7.08,7.0,7.25,7.33,7.25,0.12,No
856,Brazil,Other,7.33,7.25,7.5,7.5,7.25,0.02,No
1068,Taiwan,Other,7.17,7.17,7.42,7.17,7.25,0.0,No
171,Other,Caturra,7.58,7.83,8.0,7.67,7.58,0.1,Yes
937,Other,Catuai,7.5,7.17,7.25,7.5,7.42,0.12,No
215,Guatemala,Bourbon,7.58,7.58,7.83,7.83,7.67,0.1,Yes
1065,Guatemala,Bourbon,7.17,6.83,7.5,7.17,7.25,0.11,No
1136,Mexico,Typica,7.33,7.0,7.42,7.17,7.17,0.12,No
283,Other,Catuai,7.83,7.5,7.83,7.75,7.83,0.1,Yes
472,Brazil,Other,7.92,7.5,7.58,7.42,7.5,0.11,Yes
685,Mexico,Typica,7.42,7.42,7.58,7.42,7.5,0.11,No
248,Colombia,Caturra,7.58,7.75,7.92,7.75,7.92,0.12,Yes
272,Mexico,Typica,7.5,7.58,7.83,7.75,7.75,0.11,Yes
826,Mexico,Bourbon,7.58,7.25,7.58,7.5,7.25,0.12,No
489,Mexico,Other,7.75,7.42,7.75,7.5,7.5,0.1,Yes
1078,Mexico,Typica,7.25,7.08,7.33,7.25,7.17,0.15,No
347,Colombia,Caturra,7.67,7.58,7.67,7.75,7.58,0.11,Yes
2,Guatemala,Bourbon,8.42,8.42,8.42,8.33,8.42,0.0,Yes
766,Other,Other,7.75,7.42,7.58,7.33,7.42,0.12,No
85,Colombia,Caturra,7.58,7.92,7.83,8.0,7.92,0.12,Yes
547,Guatemala,Caturra,7.67,7.42,7.5,7.33,7.5,0.1,Yes
133,Other,Catuai,8.0,7.83,7.75,7.75,7.75,0.11,Yes
193,Colombia,Caturra,7.83,7.75,7.58,7.67,8.0,0.11,Yes
609,Other,Other,7.67,7.42,7.42,7.42,7.5,0.13,Yes
441,Guatemala,Bourbon,7.58,7.33,7.67,7.75,7.58,0.1,Yes
1203,Mexico,Typica,7.17,6.83,7.25,7.17,6.92,0.14,No
624,Guatemala,Caturra,7.67,7.17,7.67,7.5,7.5,0.11,Yes
573,Mexico,Caturra,7.58,7.5,7.58,7.5,7.5,0.12,Yes
1319,Other,Other,7.67,7.58,7.83,7.83,8.0,0.09,Yes
545,Other,Other,7.75,7.58,7.5,7.5,7.5,0.12,Yes
89,Colombia,Caturra,8.17,7.58,8.08,8.0,7.75,0.0,Yes
77,Other,Caturra,7.92,8.0,7.92,8.0,8.08,0.0,Yes
406,Other,Catuai,7.5,7.67,7.5,7.83,7.17,0.11,Yes
534,Other,Bourbon,7.5,7.75,7.58,7.92,7.83,0.0,Yes
1069,Guatemala,Caturra,7.33,7.08,7.17,7.25,7.17,0.1,No
954,Other,Catuai,7.58,7.17,7.42,7.17,7.17,0.09,No
241,Other,Other,7.83,7.67,7.75,7.33,7.75,0.11,Yes
341,Other,Other,7.75,7.58,7.67,7.5,7.67,0.0,Yes
1299,Mexico,Other,6.92,6.92,6.92,7.17,7.0,0.12,No
566,Brazil,Catuai,7.58,7.33,7.67,7.42,7.33,0.12,Yes
43,Taiwan,Bourbon,8.08,7.75,8.08,7.75,7.83,0.12,Yes
912,Other,Caturra,7.5,7.33,7.42,7.17,7.25,0.1,No
1285,Mexico,Typica,7.08,6.83,7.5,7.33,6.83,0.12,No
1179,Mexico,Typica,7.0,6.83,7.33,7.42,6.92,0.14,No
963,Brazil,Other,7.17,7.17,7.08,6.92,8.17,0.0,No
953,Brazil,Catuai,7.25,7.33,7.33,7.33,7.42,0.11,No
54,Colombia,Caturra,8.0,8.0,8.17,7.83,8.0,0.0,Yes
827,Mexico,Typica,7.5,7.25,7.25,7.5,7.5,0.13,No
207,Mexico,Bourbon,7.83,7.75,7.67,7.83,7.58,0.12,Yes
1019,Other,Other,7.33,7.17,7.25,7.42,7.33,0.12,No
1074,Guatemala,Other,7.5,6.83,7.5,7.17,7.17,0.11,No
344,Colombia,Caturra,7.67,7.67,7.58,7.67,7.75,0.12,Yes
715,Other,Other,7.33,7.42,7.58,7.33,7.5,0.12,No
883,Other,Caturra,7.5,7.17,7.17,7.5,7.08,0.11,No
1198,Guatemala,Other,7.33,6.58,7.42,7.08,6.83,0.12,No
664,Colombia,Caturra,7.5,7.42,7.42,7.58,7.58,0.11,Yes
434,Brazil,Other,7.75,7.5,7.58,7.58,7.58,0.11,Yes
1012,Mexico,Typica,7.58,7.5,7.67,7.58,7.5,0.0,No
712,Brazil,Bourbon,8.25,7.25,8.33,8.17,8.08,0.07,No
404,Other,Caturra,7.67,7.42,7.67,7.67,7.67,0.12,Yes
922,Taiwan,Typica,7.5,7.25,7.25,7.33,7.33,0.11,No
711,Other,Other,7.5,7.42,7.5,7.42,7.42,0.12,No
716,Brazil,Bourbon,7.75,7.67,8.08,8.08,8.0,0.11,No
327,Guatemala,Bourbon,7.83,7.33,7.67,7.67,7.83,0.11,Yes
770,Taiwan,Typica,7.67,7.5,7.17,7.17,7.58,0.0,No
688,Brazil,Other,7.25,7.25,7.5,7.42,7.5,0.0,No
376,Guatemala,Bourbon,7.67,7.5,7.58,7.58,7.67,0.1,Yes
141,Other,Other,7.92,7.75,7.92,7.67,7.75,0.11,Yes
